id,tier,thai,element,transliteration,tone,type,position,letter_name,class,sound_initial,sound_final,notes
1,Tier 1: Vowels,กะ,ะ,ka,Mid,Short Vowel,Right,Sra A,Mid,k-,-,Short standard 'a' sound. Forces dead syllable if no final consonant.
2,Tier 1: Vowels,กา,า,kaa,Mid,Long Vowel,Right,Sra Aa,Mid,k-,-,Long standard 'aa' sound. Creates live syllable.
3,Tier 1: Vowels,กิ,ิ,ki,Mid,Short Vowel,Above,Sra I,Mid,k-,-,Short 'i' sound placed directly above the consonant.
4,Tier 1: Vowels,กี,ี,kee,Mid,Long Vowel,Above,Sra Ee,Mid,k-,-,Long 'ee' sound placed directly above the consonant.
5,Tier 1: Vowels,กึ,ึ,kue,Mid,Short Vowel,Above,Sra Ue (Short),Mid,k-,-,Short unrounded back vowel (close back unrounded).
6,Tier 1: Vowels,กือ,ื / อ,kuee,Mid,Long Vowel,Above & Right,Sra Ue (Long),Mid,k-,-,Long unrounded back vowel. Requires trailing อ if no final consonant.
7,Tier 1: Vowels,กุ,ุ,ku,Mid,Short Vowel,Below,Sra U,Mid,k-,-,Short 'u' sound (like oo in foot) placed below.
8,Tier 1: Vowels,กู,ู,koo,Mid,Long Vowel,Below,Sra Oo,Mid,k-,-,Long 'oo' sound (like oo in boot) placed below.
9,Tier 1: Vowels,เกะ,เ—ะ,ke,Mid,Short Vowel,Wrap-around,Sra E (Short),Mid,k-,-,Short 'e' sound. Vowel wraps around the consonant.
10,Tier 1: Vowels,เก,เ,kay,Mid,Long Vowel,Left,Sra E (Long),Mid,k-,-,Long 'ay' sound placed to the left of the consonant.
11,Tier 1: Vowels,แกะ,แ—ะ,kae,Mid,Short Vowel,Wrap-around,Sra Ae (Short),Mid,k-,-,Short 'ae' sound (like 'a' in cat). Wrap-around structure.
12,Tier 1: Vowels,แก,แ,kaee,Mid,Long Vowel,Left,Sra Ae (Long),Mid,k-,-,Long 'ae' sound (like 'a' in bad) placed to the left.
13,Tier 1: Vowels,โกะ,โ—ะ,ko,Mid,Short Vowel,Wrap-around,Sra O (Short),Mid,k-,-,Short 'o' sound. Disappears completely when final consonant is added.
14,Tier 1: Vowels,โก,โ,koh,Mid,Long Vowel,Left,Sra O (Long),Mid,k-,-,Long 'oh' sound placed to the left of the consonant.
15,Tier 1: Vowels,เกาะ,เ—าะ,kaw,Mid,Short Vowel,Wrap-around,Sra Aw (Short),Mid,k-,-,Short open 'o' sound (like 'aw' in law). Wrap-around.
16,Tier 1: Vowels,กอ,อ,kaww,Mid,Long Vowel,Right,Sra Aw (Long),Mid,k-,-,Long open 'o' sound. The letter 'อ' functions purely as a vowel here.
17,Tier 1: Vowels,เกิอะ,เ—ิอะ,koer,Mid,Short Vowel,Wrap-around,Sra Oe (Short),Mid,k-,-,Short central vowel (like 'er' in British 'her'). Very rare.
18,Tier 1: Vowels,เกอ,เ—อ,koerr,Mid,Long Vowel,Wrap-around,Sra Oe (Long),Mid,k-,-,Long central vowel. Changes form to เ—ิ when final consonant attached.
19,Tier 1: Vowels,เกียะ,เ—ียะ,kia,Mid,Short Diphthong,Wrap-around,Sra Ia (Short),Mid,k-,-,Short diphthong 'i-a'. Rare modern usage.
20,Tier 1: Vowels,เกีย,เ—ีย,keea,Mid,Long Diphthong,Wrap-around,Sra Ia (Long),Mid,k-,-,Long diphthong moving from 'ee' to 'ah' smoothly.
21,Tier 1: Vowels,เกือะ,เ—ือะ,kuea,Mid,Short Diphthong,Wrap-around,Sra Uea (Short),Mid,k-,-,Short diphthong combining unrounded back vowel + 'a'.
22,Tier 1: Vowels,เกือ,เ—ือ,kueaa,Mid,Long Diphthong,Wrap-around,Sra Uea (Long),Mid,k-,-,Long diphthong combining unrounded back vowel + 'ah'.
23,Tier 1: Vowels,กัวะ,—ัวะ,kua,Mid,Short Diphthong,Wrap-around,Sra Ua (Short),Mid,k-,-,Short diphthong combining 'u' + 'a' with final glottal stop.
24,Tier 1: Vowels,กัว,—ัว,kuaa,Mid,Long Diphthong,Above & Right,Sra Ua (Long),Mid,k-,-,Long diphthong 'oo-ah'. Drops the upper symbol when final consonant attached.
25,Tier 1: Vowels,กำ,ำ,kam,Mid,Special Vowel,Above & Right,Sra Am,Mid,k-,-,Combines short 'a' sound with a final '-m' closing sound.
26,Tier 1: Vowels,ไก,ไ,kai,Mid,Special Vowel,Left,Sra Ai Mai-Malai,Mid,k-,-,Short 'ai' sound. Most common 'ai' vowel layout.
27,Tier 1: Vowels,ใก,ใ,kai,Mid,Special Vowel,Left,Sra Ai Mai-Muan,Mid,k-,-,Short 'ai' sound. Restricted to exactly 20 grammar words in Thai.
28,Tier 1: Vowels,เกา,เ—า,kao,Mid,Special Vowel,Wrap-around,Sra Ao,Mid,k-,-,Short/Medium 'ao' sound like 'ow' in cow.
29,Tier 2: Consonants,กา,ก,koaa,Mid,Consonant Anchor,Left,กอ ไก่,Mid,k-,-k,Meaning: Chicken. Mid Class + Long Vowel = Mid Tone.
